Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,15.3627,15.3627,15.3627,15.3627,210.90100110613
2022-01-05,15.6471,16.5954,15.6471,16.5954,2109.0100110613
2022-01-07,16.4058,16.5006,16.4058,16.5006,672.77419352854
2022-01-12,15.8368,15.8368,15.742,15.742,1054.5050055306
2022-01-13,15.6471,15.6471,15.6471,15.6471,375.40378196891
2022-01-17,15.6471,15.6471,15.6471,15.6471,527.25250276532
2022-01-18,15.8368,15.8368,15.8368,15.8368,1.0545050055306
2022-01-19,15.5523,15.5523,15.173,15.2678,1132.5383759399
2022-01-21,15.2678,15.2678,15.0782,15.0782,352.20467184723
2022-01-24,14.6988,15.173,14.6988,15.173,1136.756395962
2022-01-26,14.9833,15.3627,14.9833,15.3627,106.50500555859
2022-01-27,14.6988,15.3627,14.6988,15.3627,4.2180200221225
2022-02-14,14.6988,14.6988,14.6988,14.6988,524.08898774873
2022-02-15,14.6988,14.6988,14.6988,14.6988,105.45050055306
2022-02-21,14.3195,14.3195,14.3195,14.3195,861.53058951853
2022-02-22,14.2247,14.2247,14.2247,14.2247,500.88987762705
2022-02-23,14.2247,14.2247,14.2247,14.2247,42.180200221225
2022-02-24,14.035,14.035,13.1816,13.6557,1922.3626250823
2022-02-28,13.8454,13.8454,13.8454,13.8454,105.45050055306
2022-03-02,13.8454,13.8454,13.2764,13.8454,211.95550611166
2022-03-03,13.8454,13.8454,13.8454,13.8454,453.43715237817
2022-03-04,13.5609,13.5609,13.5609,13.5609,316.35150165919
2022-03-07,13.8454,13.8454,13.8454,13.8454,42.180200221225
2022-03-08,13.5609,13.5609,13.5609,13.5609,10.545050055306
2022-03-11,13.5609,13.5609,13.5609,13.5609,147.63070077429
2022-03-15,13.4661,13.4661,13.4661,13.4661,57.997775304185
2022-03-17,13.3712,13.3712,13.3712,13.3712,316.35150165919
2022-03-18,13.2764,13.2764,13.2764,13.2764,1107.2302558072
2022-03-23,12.8971,13.3712,12.8971,13.3712,53.779755282062
2022-03-25,13.3712,13.3712,13.3712,13.3712,44.289210232287
2022-04-04,13.3712,13.3712,13.3712,13.3712,579.97775304185
2022-04-05,13.8454,13.8454,13.8454,13.8454,1.0545050055306
2022-04-07,13.8454,13.8454,13.8454,13.8454,31.635150165919
2022-04-12,13.8454,13.8454,13.2764,13.8454,1657.6818686942
2022-04-22,13.7505,13.7505,13.7505,13.7505,119.15906562496
2022-04-26,13.7505,13.7505,13.7505,13.7505,31.635150165919
2022-04-29,13.3712,13.3712,13.3712,13.3712,52.725250276532
2022-05-02,13.2764,13.2764,13.0867,13.2764,674.88320353961
2022-05-04,13.0867,13.0867,12.9919,12.9919,1437.2903225383
2022-05-05,12.8971,12.8971,12.5178,12.8022,748.69855392675
2022-05-06,12.2333,12.8022,12.2333,12.8022,1095.6307007463
2022-05-09,13.9402,13.9402,12.7074,13.8454,4303.4349275705
2022-05-10,12.8971,13.4661,12.8971,13.4661,1898.1090099551
2022-05-11,12.8971,13.3712,12.8971,13.3712,1761.0233592362
2022-05-18,13.2764,13.2764,13.2764,13.2764,421.80200221225
2022-05-19,13.3712,14.2247,13.3712,14.2247,3806.7630699656
2022-05-23,13.8454,13.8454,13.8454,13.8454,326.8965517145
